# chrom	start	end	chrom	start	end	Adipocytes	Endothelium	Heart-Cardio	Oligodend	Neuron	Liver-Hep	Pancreas-Duct	Pancreas-Acinar	Pancreas-Delta	Pancreas-Beta	Pancreas-Alpha	Kidney-Ep	Thyroid-Ep	Fallopian-Ep	Ovary+Endom-Ep	Eryth-prog	Blood-T	Blood-NK	Blood-Mono+Macro	Blood-Granul	Blood-B	Head-Neck-Ep	Lung-Ep-Bron	Prostate-Ep	Bladder-Ep	Breast-Luminal-Ep	Breast-Basal-Ep	Lung-Ep-Alveo	Gastric-Ep	Colon-Ep	Small-Int-Ep
chr13	113404880	113405378	chr13	113404880	113405377	0.97	0.97	0.97	0.16	0.97	0.98	0.8	0.95	0.93	0.93	0.97	0.94	0.97	0.97	0.86	0.77	0.97	0.96	0.97	0.98	0.96	0.97	0.92	0.95	0.95	0.98	0.95	0.88	0.95	0.96	0.94
chr13	113438391	113438560	chr13	113438391	113438559	0.94	0.93	0.97	0.97	0.97	0.94	0.97	0.95	0.92	0.94	0.95	0.78	0.72	0.95	0.93	0.59	0.94	0.84	0.76	0.53	0.8	0.92	0.55	0.97	0.93	0.93	0.95	0.1	0.95	0.97	0.94
chr13	113488300	113488591	chr13	113488300	113488590	0.98	0.98	0.99	0.98	0.99	0.99	0.98	0.95	0.96	0.95	0.96	0.97	0.18	0.99	0.99	0.76	0.99	0.99	0.99	0.99	0.99	0.96	0.98	0.99	0.97	0.99	0.99	0.95	0.99	0.99	0.99
chr13	113584347	113584427	chr13	113584347	113584426	0.69	0.76	0.95	0.97	0.95	0.96	0.95	0.95	0.36	0.79	0.89	0.94	0.98	0.92	0.96	0.5	0.87	0.82	0.84	0.89	0.92	0.95	0.96	0.96	0.96	0.98	0.96	0.96	0.97	0.9	0.78
chr13	113724294	113724746	chr13	113724294	113724745	0.96	0.96	0.99	0.72	0.3	0.99	0.96	0.97	0.87	0.77	0.93	0.99	0.98	0.98	0.99	0.78	0.98	0.99	0.99	0.98	0.98	0.96	0.97	0.98	0.99	0.99	0.97	0.97	0.97	0.98	0.99
chr13	113747700	113747990	chr13	113747700	113747989	0.86	0.96	0.98	0.65	0.26	0.98	0.97	0.95	0.96	0.96	0.97	0.98	0.99	0.96	0.98	0.73	0.96	0.96	0.97	0.98	0.96	0.92	0.97	0.98	0.99	0.98	0.98	0.97	0.98	0.98	0.99
chr13	113858337	113858854	chr13	113858337	113858853	0.94	0.9	0.2	0.96	0.95	0.95	0.95	0.95	0.92	0.94	0.96	0.96	0.95	0.96	0.94	0.87	0.96	0.96	0.95	0.89	0.96	0.95	0.96	0.95	0.96	0.96	0.96	0.95	0.95	0.95	0.96
chr13	113887316	113887803	chr13	113887316	113887802	0.96	0.96	0.73	0.97	0.96	0.98	0.96	0.97	0.96	0.96	0.97	0.97	0.97	0.97	0.96	0.94	0.97	0.97	0.96	0.93	0.97	0.97	0.97	0.86	0.97	0.56	0.21	0.97	0.96	0.97	0.97
chr13	114020134	114020574	chr13	114020134	114020573	0.97	0.95	0.96	0.97	0.98	0.98	0.98	0.94	0.97	0.95	0.97	0.98	0.98	0.89	0.95	0.26	0.97	0.97	0.96	0.96	0.96	0.96	0.96	0.97	0.97	0.97	0.97	0.97	0.93	0.9	0.86
chr13	114104730	114105193	chr13	114104730	114105192	0.91	0.95	0.12	0.97	0.8	0.98	0.97	0.96	0.97	0.98	0.98	0.93	0.97	0.96	0.97	0.86	0.97	0.97	0.98	0.98	0.78	0.98	0.97	0.98	0.97	0.98	0.98	0.98	0.97	0.98	0.97
chr13	114105950	114106248	chr13	114105950	114106247	0.99	0.99	0.09	0.99	0.97	0.99	1.0	0.96	0.99	1.0	0.99	0.99	1.0	1.0	1.0	0.91	0.99	0.99	0.99	0.99	0.99	0.99	1.0	1.0	0.99	1.0	1.0	0.99	0.98	0.99	0.99
chr13	114111682	114111908	chr13	114111682	114111907	0.88	0.93	0.49	0.95	0.83	0.94	0.95	0.88	0.83	0.72	0.24	0.94	0.94	0.95	0.95	0.82	0.96	0.95	0.95	0.95	0.96	0.87	0.91	0.93	0.95	0.89	0.81	0.94	0.85	0.89	0.92
chr13	114295356	114295898	chr13	114295356	114295897	0.95	0.86	0.95	0.96	0.95	0.95	0.93	0.93	0.83	0.83	0.89	0.95	0.95	0.95	0.91	0.95	0.96	0.95	0.96	0.96	0.96	0.88	0.84	0.23	0.84	0.68	0.94	0.94	0.85	0.89	0.9
chr13	114549359	114549811	chr13	114549359	114549810	0.94	0.98	0.98	0.99	0.89	0.97	0.98	0.94	0.97	0.98	0.92	0.97	0.97	0.97	0.97	0.55	0.05	0.27	0.81	0.83	0.81	0.96	0.97	0.99	0.98	0.98	0.98	0.97	0.98	0.98	0.97
chr13	114585784	114585973	chr13	114585784	114585972	0.53	0.27	0.54	1.0	0.99	0.98	0.96	0.93	0.99	0.99	0.93	0.96	1.0	0.53	0.98	0.91	1.0	1.0	0.97	1.0	0.98	0.98	1.0	0.97	0.99	1.0	0.98	1.0	0.99	0.99	0.94
chr13	114776474	114776550	chr13	114776474	114776549	0.92	0.97	0.97	0.99	0.87	0.95	0.95	0.91	0.97	0.94	0.96	0.97	0.98	0.99	0.86	0.85	0.23	0.7	0.94	0.98	0.94	0.9	0.96	0.93	0.84	0.95	0.94	0.96	0.91	0.95	0.78
chr13	114812333	114812657	chr13	114812333	114812656	0.86	0.88	0.93	0.81	0.91	0.83	0.92	0.89	0.9	0.88	0.88	0.72	0.89	0.42	0.2	0.75	0.92	0.91	0.93	0.94	0.87	0.82	0.72	0.76	0.83	0.88	0.91	0.85	0.82	0.68	0.85
chr13	114817582	114817678	chr13	114817582	114817677	0.97	0.98	0.99	0.98	0.99	0.97	0.98	0.98	0.99	0.98	0.95	0.98	0.99	0.99	0.99	0.82	0.98	0.98	0.93	0.27	0.94	0.92	0.98	0.97	0.97	0.98	0.99	0.96	0.98	0.98	0.96
chr13	114836095	114836754	chr13	114836095	114836753	0.98	0.99	0.99	0.96	0.96	0.98	0.98	0.98	0.98	0.99	0.98	0.99	0.99	0.98	0.99	0.92	0.98	0.59	0.98	0.97	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.99	0.98
chr13	114887132	114887370	chr13	114887132	114887369	0.9	0.94	0.99	0.99	0.99	0.93	0.99	0.97	0.99	0.96	0.97	0.89	0.99	0.99	0.98	0.86	0.95	0.97	0.99	1.0	1.0	0.99	0.99	0.98	0.98	1.0	0.99	0.96	0.98	0.86	0.12
chr13	114891387	114891796	chr13	114891387	114891795	0.99	0.99	0.99	1.0	1.0	0.99	0.98	0.99	0.99	0.99	0.93	1.0	0.99	1.0	1.0	0.89	0.97	0.49	0.99	0.99	0.92	0.98	0.98	1.0	0.99	1.0	1.0	0.95	0.97	0.99	0.99
chr13	115052290	115052573	chr13	115052290	115052572	0.96	0.95	0.83	0.94	0.87	0.96	0.96	0.93	0.95	0.97	0.95	0.95	0.13	0.97	0.95	0.82	0.97	0.97	0.97	0.97	0.98	0.87	0.94	0.96	0.9	0.98	0.91	0.95	0.97	0.97	0.95
chr14	20786959	20787047	chr14	20786959	20787046	0.98	0.99	0.99	1.0	0.99	0.99	0.96	0.94	0.09	0.19	0.9	0.62	1.0	0.98	0.99	0.93	1.0	1.0	0.99	1.0	1.0	0.99	0.98	0.99	0.99	1.0	0.99	0.91	0.98	0.98	0.98
chr14	20871851	20872145	chr14	20871851	20872144	0.96	0.96	0.97	0.99	0.99	0.99	0.98	0.97	0.94	0.97	0.97	0.98	0.99	0.99	0.98	0.14	0.98	0.99	0.99	0.99	0.99	0.98	0.99	0.99	0.99	0.99	0.96	0.98	0.98	0.99	0.99
chr14	21258766	21258823	chr14	21258766	21258822	0.97	0.99	0.88	1.0	0.99	1.0	0.99	0.98	0.98	1.0	0.98	0.99	0.96	0.99	1.0	0.95	0.99	1.0	0.86	0.99	1.0	0.96	1.0	0.99	0.99	1.0	0.98	0.04	0.97	1.0	1.0
chr14	21559954	21560303	chr14	21559954	21560302	0.99	1.0	1.0	1.0	0.99	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.12	1.0	1.0	0.97	1.0	1.0	1.0	1.0	1.0	1.0	0.99	1.0	0.98	1.0	0.99	1.0	1.0	0.99	0.98
chr14	21560327	21560432	chr14	21560327	21560431	0.93	0.95	0.98	0.85	0.9	0.96	0.95	0.87	0.96	0.96	0.94	0.94	0.07	0.95	0.99	0.88	0.95	1.0	0.99	0.99	0.98	0.94	0.94	0.93	0.95	0.93	0.55	0.95	0.98	0.92	0.86
chr14	21969884	21970111	chr14	21969884	21970110	0.93	0.93	0.94	0.9	0.94	0.95	0.94	0.92	0.92	0.94	0.94	0.88	0.23	0.89	0.77	0.84	0.95	0.94	0.95	0.95	0.96	0.9	0.91	0.91	0.91	0.94	0.86	0.9	0.94	0.93	0.95
chr14	22875700	22875764	chr14	22875700	22875763	0.87	0.95	0.95	0.96	0.98	0.25	0.98	0.93	0.89	0.96	0.94	0.97	0.99	0.98	0.99	0.71	0.87	0.93	0.16	0.66	0.85	0.97	0.73	0.99	0.97	0.76	0.71	0.98	0.99	0.98	0.94
chr14	22927507	22928551	chr14	22927507	22928550	0.85	0.92	0.9	0.94	0.93	0.83	0.93	0.87	0.89	0.89	0.89	0.94	0.93	0.92	0.95	0.67	0.36	0.28	0.92	0.84	0.93	0.9	0.94	0.93	0.91	0.94	0.95	0.94	0.94	0.93	0.9
chr14	22965216	22965481	chr14	22965216	22965480	0.99	0.99	0.94	0.99	0.99	0.91	0.99	0.93	0.97	0.96	0.97	0.99	0.99	1.0	1.0	0.71	0.2	0.91	0.98	0.99	0.99	0.99	1.0	0.99	0.98	0.99	1.0	0.99	0.99	0.99	0.99
chr14	22968335	22969757	chr14	22968335	22969756	0.89	0.86	0.88	0.92	0.93	0.73	0.91	0.65	0.83	0.76	0.8	0.86	0.87	0.89	0.9	0.46	0.24	0.8	0.88	0.88	0.89	0.89	0.9	0.9	0.88	0.9	0.92	0.84	0.88	0.88	0.86
chr14	22973390	22973497	chr14	22973390	22973496	0.94	0.99	1.0	1.0	0.99	0.98	1.0	0.95	1.0	0.99	0.99	1.0	0.99	1.0	0.99	0.68	0.13	0.97	0.99	0.98	0.98	0.99	1.0	0.99	0.97	1.0	1.0	0.99	1.0	1.0	0.99
chr14	22975088	22975688	chr14	22975088	22975687	0.83	0.84	0.88	0.95	0.95	0.88	0.94	0.87	0.94	0.92	0.97	0.88	0.94	0.37	0.89	0.56	0.18	0.71	0.9	0.91	0.62	0.89	0.93	0.94	0.93	0.9	0.81	0.91	0.94	0.91	0.91
chr14	22980259	22981236	chr14	22980259	22981235	0.85	0.86	0.9	0.92	0.91	0.89	0.85	0.83	0.9	0.87	0.89	0.9	0.92	0.92	0.9	0.53	0.31	0.87	0.89	0.92	0.69	0.9	0.92	0.89	0.88	0.91	0.91	0.91	0.91	0.86	0.83
chr14	22983445	22983907	chr14	22983445	22983906	0.8	0.94	0.95	0.96	0.96	0.94	0.96	0.93	0.95	0.95	0.95	0.94	0.96	0.96	0.95	0.69	0.38	0.91	0.94	0.95	0.93	0.9	0.96	0.96	0.97	0.95	0.95	0.95	0.96	0.94	0.95
chr14	22983920	22984402	chr14	22983920	22984401	0.85	0.89	0.93	0.81	0.93	0.89	0.95	0.83	0.9	0.89	0.89	0.89	0.88	0.91	0.92	0.6	0.23	0.45	0.88	0.93	0.71	0.85	0.93	0.93	0.93	0.92	0.9	0.9	0.93	0.93	0.93
chr14	22987457	22987981	chr14	22987457	22987980	0.88	0.85	0.88	0.91	0.94	0.92	0.95	0.79	0.93	0.9	0.93	0.9	0.88	0.94	0.9	0.51	0.19	0.88	0.89	0.91	0.87	0.76	0.89	0.93	0.93	0.94	0.95	0.91	0.93	0.91	0.9
chr14	22995933	22997013	chr14	22995933	22997012	0.8	0.91	0.94	0.74	0.92	0.87	0.91	0.75	0.92	0.86	0.9	0.93	0.92	0.89	0.88	0.61	0.19	0.94	0.9	0.9	0.63	0.93	0.93	0.94	0.93	0.93	0.95	0.91	0.95	0.94	0.93
chr14	22997020	22997931	chr14	22997020	22997930	0.9	0.9	0.91	0.91	0.93	0.84	0.93	0.72	0.89	0.85	0.91	0.94	0.89	0.92	0.91	0.59	0.26	0.88	0.88	0.9	0.86	0.93	0.91	0.92	0.92	0.88	0.94	0.88	0.91	0.91	0.88
chr14	22998041	22999024	chr14	22998041	22999023	0.94	0.94	0.74	0.92	0.96	0.9	0.95	0.77	0.75	0.78	0.39	0.95	0.92	0.92	0.94	0.62	0.21	0.93	0.92	0.94	0.91	0.93	0.94	0.95	0.94	0.93	0.96	0.89	0.94	0.93	0.93
chr14	23002116	23002829	chr14	23002116	23002828	0.8	0.81	0.86	0.62	0.84	0.79	0.88	0.73	0.86	0.86	0.88	0.83	0.58	0.72	0.61	0.54	0.19	0.85	0.83	0.87	0.44	0.87	0.83	0.9	0.9	0.89	0.92	0.66	0.9	0.88	0.82
chr14	23007849	23008818	chr14	23007849	23008817	0.86	0.88	0.85	0.77	0.9	0.81	0.9	0.76	0.85	0.82	0.88	0.9	0.86	0.88	0.87	0.53	0.34	0.9	0.81	0.72	0.86	0.9	0.9	0.9	0.9	0.87	0.91	0.86	0.89	0.87	0.87
chr14	23013009	23013827	chr14	23013009	23013826	0.83	0.87	0.89	0.69	0.88	0.82	0.88	0.74	0.83	0.83	0.86	0.8	0.88	0.87	0.67	0.55	0.26	0.87	0.84	0.87	0.87	0.8	0.81	0.83	0.81	0.72	0.65	0.85	0.81	0.88	0.88
chr14	23014301	23014949	chr14	23014301	23014948	0.85	0.86	0.81	0.87	0.88	0.81	0.89	0.84	0.85	0.83	0.86	0.87	0.87	0.86	0.86	0.59	0.41	0.88	0.86	0.87	0.88	0.88	0.88	0.88	0.87	0.85	0.87	0.86	0.88	0.85	0.87
chr14	23017481	23017886	chr14	23017481	23017885	0.94	0.96	0.96	0.97	0.96	0.95	0.93	0.94	0.95	0.95	0.94	0.81	0.96	0.97	0.96	0.58	0.26	0.95	0.92	0.95	0.96	0.94	0.96	0.96	0.96	0.95	0.96	0.91	0.92	0.74	0.56
chr14	23021982	23022605	chr14	23021982	23022604	0.88	0.9	0.89	0.91	0.93	0.86	0.91	0.79	0.9	0.83	0.92	0.9	0.91	0.9	0.9	0.64	0.37	0.8	0.89	0.9	0.9	0.92	0.9	0.91	0.88	0.93	0.9	0.88	0.91	0.9	0.91
chr14	23584532	23584891	chr14	23584532	23584890	0.74	0.74	0.84	0.81	0.86	0.56	0.76	0.46	0.73	0.71	0.72	0.81	0.87	0.66	0.75	0.53	0.7	0.73	0.7	0.19	0.69	0.57	0.7	0.79	0.73	0.78	0.83	0.66	0.78	0.71	0.69
chr14	23587997	23588231	chr14	23587997	23588230	0.82	0.88	0.94	0.96	0.98	0.97	0.97	0.92	0.97	0.97	0.98	0.9	0.97	0.96	0.96	0.76	0.97	0.94	0.78	0.1	0.98	0.96	0.94	0.97	0.96	0.96	0.74	0.92	0.98	0.98	0.98
chr14	23863276	23863501	chr14	23863276	23863500	0.98	0.98	0.26	0.99	0.99	0.95	0.97	0.94	0.99	0.93	0.96	0.99	0.98	0.98	0.98	0.77	0.97	0.98	0.98	0.98	0.98	0.98	0.99	0.98	0.99	0.97	0.99	0.98	0.98	0.99	0.98
chr14	23865440	23865659	chr14	23865440	23865658	0.95	0.95	0.26	0.99	0.98	0.95	0.98	0.95	0.97	0.97	0.98	0.98	0.98	0.97	0.97	0.81	0.95	0.96	0.98	0.98	0.96	0.97	0.97	0.97	0.96	0.98	0.99	0.96	0.96	0.97	0.98
chr14	23866020	23866412	chr14	23866020	23866411	0.92	0.92	0.22	0.96	0.97	0.93	0.95	0.9	0.95	0.96	0.96	0.96	0.94	0.95	0.95	0.76	0.91	0.94	0.95	0.95	0.91	0.95	0.94	0.97	0.92	0.96	0.97	0.95	0.94	0.96	0.96
chr14	23869966	23870077	chr14	23869966	23870076	0.98	0.97	0.14	0.95	0.98	0.98	0.98	0.93	0.99	0.99	0.98	0.99	0.98	0.98	0.98	0.73	0.96	0.98	0.97	0.98	0.98	0.98	0.98	0.98	0.99	0.99	0.99	0.98	0.97	0.98	0.98
chr14	23873545	23873802	chr14	23873545	23873801	0.92	0.92	0.22	0.95	0.96	0.9	0.91	0.88	0.94	0.95	0.96	0.96	0.97	0.92	0.92	0.73	0.92	0.91	0.95	0.96	0.94	0.91	0.91	0.96	0.94	0.93	0.94	0.93	0.93	0.94	0.92
chr14	23874989	23875362	chr14	23874989	23875361	0.95	0.93	0.11	0.96	0.97	0.94	0.95	0.93	0.95	0.95	0.96	0.98	0.97	0.95	0.97	0.74	0.95	0.96	0.97	0.98	0.85	0.95	0.95	0.96	0.97	0.93	0.97	0.95	0.93	0.96	0.97
chr14	23990114	23990411	chr14	23990114	23990410	0.87	0.89	0.88	0.6	0.45	0.88	0.88	0.89	0.91	0.92	0.91	0.86	0.92	0.93	0.94	0.78	0.94	0.93	0.93	0.96	0.95	0.91	0.92	0.93	0.96	0.96	0.94	0.92	0.93	0.94	0.95
chr14	24088492	24089238	chr14	24088492	24089237	0.81	0.83	0.86	0.9	0.91	0.91	0.9	0.65	0.9	0.89	0.77	0.89	0.87	0.85	0.82	0.64	0.87	0.89	0.9	0.9	0.87	0.81	0.88	0.72	0.27	0.74	0.89	0.91	0.84	0.91	0.9
chr14	24105183	24106091	chr14	24105183	24106090	0.95	0.93	0.96	0.96	0.97	0.93	0.97	0.91	0.97	0.97	0.97	0.97	0.96	0.96	0.96	0.71	0.96	0.97	0.97	0.97	0.97	0.95	0.96	0.87	0.34	0.93	0.95	0.95	0.97	0.97	0.96
chr14	24107362	24107576	chr14	24107362	24107575	0.95	0.96	0.97	0.97	0.98	0.96	0.98	0.95	0.98	0.96	0.98	0.93	0.97	0.96	0.98	0.67	0.94	0.94	0.97	0.95	0.97	0.96	0.96	0.87	0.34	0.98	0.98	0.96	0.97	0.97	0.97
chr14	24437971	24438137	chr14	24437971	24438136	0.94	0.92	0.95	0.96	0.89	0.96	0.93	0.95	0.98	0.95	0.96	0.94	0.87	0.98	0.98	0.87	0.96	0.92	0.95	0.96	0.97	0.72	0.92	0.93	0.95	0.87	0.21	0.94	0.91	0.96	0.93
chr14	24725388	24725768	chr14	24725388	24725767	0.95	0.95	0.96	0.95	0.96	0.96	0.96	0.94	0.92	0.94	0.94	0.96	0.94	0.97	0.97	0.2	0.95	0.97	0.96	0.96	0.95	0.96	0.96	0.97	0.97	0.96	0.97	0.95	0.95	0.96	0.96
chr14	24728970	24729166	chr14	24728970	24729165	0.91	0.91	0.95	0.95	0.94	0.93	0.2	0.93	0.9	0.95	0.93	0.78	0.92	0.63	0.82	0.8	0.96	0.96	0.95	0.96	0.97	0.81	0.6	0.74	0.86	0.91	0.94	0.68	0.86	0.95	0.96
chr14	25096503	25096619	chr14	25096503	25096618	0.99	0.98	0.98	0.98	0.99	0.96	1.0	0.99	0.97	0.95	0.98	0.99	1.0	0.98	0.99	0.74	0.94	0.39	0.99	0.99	0.98	0.99	0.99	0.99	0.98	0.98	0.99	0.99	0.99	0.98	0.99
chr14	25101098	25101378	chr14	25101098	25101377	0.94	0.95	0.96	0.98	0.98	0.97	0.98	0.95	0.96	0.94	0.9	0.97	0.99	0.93	0.98	0.7	0.91	0.21	0.96	0.9	0.96	0.98	0.99	0.99	0.97	0.99	0.99	0.98	0.98	0.98	0.96
chr14	25147831	25147903	chr14	25147831	25147902	0.89	0.93	0.98	0.98	0.95	0.9	0.98	0.96	0.95	0.97	0.96	0.95	0.97	0.93	0.96	0.84	0.8	0.09	0.96	0.96	0.99	0.97	0.98	0.99	0.96	0.97	0.94	0.93	0.96	0.94	0.95
chr14	25546938	25547536	chr14	25546938	25547535	0.9	0.9	0.93	0.92	0.93	0.86	0.94	0.91	0.88	0.28	0.89	0.92	0.93	0.69	0.69	0.66	0.85	0.9	0.92	0.91	0.87	0.91	0.93	0.94	0.88	0.93	0.94	0.91	0.92	0.92	0.94
chr14	25700894	25701112	chr14	25700894	25701111	0.94	0.89	0.93	0.91	0.95	0.94	0.92	0.88	0.37	0.83	0.9	0.94	0.93	0.92	0.85	0.6	0.95	0.97	0.92	0.95	0.94	0.94	0.92	0.92	0.96	0.91	0.97	0.96	0.94	0.92	0.93
chr14	31093439	31093986	chr14	31093439	31093985	0.89	0.91	0.89	0.92	0.92	0.93	0.9	0.34	0.89	0.89	0.9	0.93	0.93	0.93	0.93	0.77	0.93	0.93	0.93	0.92	0.92	0.92	0.92	0.92	0.93	0.93	0.92	0.92	0.89	0.92	0.93
chr14	31642247	31642461	chr14	31642247	31642460	0.97	0.97	0.14	0.97	0.98	0.98	0.97	0.96	0.97	0.97	0.99	0.98	0.98	0.98	0.97	0.93	0.98	0.99	0.98	0.98	0.98	0.98	0.98	0.98	0.97	0.99	0.97	0.98	0.97	0.98	0.98
chr14	31666438	31666606	chr14	31666438	31666605	0.87	0.94	0.92	0.95	0.96	0.88	0.98	0.96	0.95	0.94	0.96	0.96	0.97	0.97	0.95	0.09	0.96	0.94	0.78	0.96	0.94	0.95	0.95	0.91	0.82	0.97	0.97	0.95	0.85	0.92	0.93
chr14	32559899	32560488	chr14	32559899	32560487	0.92	0.92	0.86	0.23	0.8	0.93	0.91	0.92	0.82	0.72	0.67	0.89	0.94	0.93	0.91	0.78	0.92	0.92	0.93	0.93	0.94	0.9	0.92	0.9	0.92	0.94	0.9	0.92	0.92	0.91	0.9
chr14	33119635	33120170	chr14	33119635	33120169	0.89	0.89	0.91	0.9	0.88	0.91	0.83	0.87	0.91	0.92	0.91	0.91	0.91	0.91	0.88	0.6	0.82	0.86	0.89	0.88	0.83	0.81	0.66	0.57	0.23	0.9	0.91	0.79	0.52	0.86	0.87
chr14	33392212	33392681	chr14	33392212	33392680	0.97	0.96	0.95	0.97	0.98	0.92	0.97	0.93	0.96	0.96	0.97	0.96	0.2	0.97	0.97	0.73	0.94	0.97	0.96	0.96	0.95	0.95	0.98	0.97	0.92	0.98	0.98	0.95	0.95	0.96	0.96
chr14	33564387	33564849	chr14	33564387	33564848	0.83	0.84	0.9	0.85	0.89	0.79	0.8	0.85	0.86	0.9	0.92	0.39	0.91	0.9	0.9	0.64	0.84	0.87	0.88	0.87	0.87	0.69	0.86	0.83	0.83	0.9	0.89	0.89	0.79	0.88	0.84
chr14	33824148	33824391	chr14	33824148	33824390	0.92	0.92	0.94	0.95	0.95	0.82	0.88	0.84	0.9	0.91	0.42	0.92	0.94	0.96	0.93	0.7	0.87	0.92	0.91	0.91	0.87	0.88	0.92	0.94	0.91	0.93	0.95	0.92	0.87	0.93	0.86
chr14	34144320	34144556	chr14	34144320	34144555	0.94	0.95	0.96	0.96	0.96	0.91	0.92	0.91	0.84	0.98	0.14	0.82	0.98	0.98	0.96	0.82	0.96	0.98	0.96	0.98	0.96	0.95	0.76	0.97	0.96	0.97	0.98	0.95	0.96	0.98	0.97
chr14	34224690	34224799	chr14	34224690	34224798	0.86	0.92	0.97	0.98	0.97	0.73	0.89	0.84	0.97	0.98	0.98	0.77	0.97	0.95	0.92	0.58	0.9	0.89	0.94	0.97	0.91	0.17	0.7	0.78	0.68	0.95	0.95	0.89	0.81	0.92	0.82
chr14	34257318	34257709	chr14	34257318	34257708	0.97	0.94	0.98	0.27	0.95	0.96	0.95	0.96	0.98	0.93	0.96	0.98	0.99	0.99	0.99	0.79	0.96	0.96	0.97	0.97	0.98	0.96	0.98	0.97	0.97	0.98	0.99	0.97	0.98	0.98	0.98
chr14	35210908	35210977	chr14	35210908	35210976	0.68	0.94	0.98	0.98	0.99	0.95	0.98	0.93	0.82	0.94	0.92	0.98	0.98	0.98	0.96	0.64	0.71	0.13	0.94	0.91	0.96	0.96	0.99	0.99	0.98	1.0	0.98	0.98	0.98	0.98	0.99
chr14	35227699	35228450	chr14	35227699	35228449	0.95	0.95	0.97	0.96	0.97	0.17	0.92	0.81	0.92	0.94	0.93	0.96	0.96	0.96	0.95	0.92	0.96	0.97	0.96	0.96	0.97	0.95	0.96	0.95	0.96	0.83	0.96	0.96	0.92	0.93	0.95
chr14	35275147	35275710	chr14	35275147	35275709	0.85	0.83	0.68	0.85	0.86	0.85	0.85	0.26	0.84	0.83	0.85	0.83	0.83	0.82	0.87	0.83	0.86	0.87	0.87	0.87	0.88	0.85	0.86	0.86	0.87	0.83	0.85	0.79	0.86	0.86	0.82
chr14	35544036	35544208	chr14	35544036	35544207	0.95	0.95	0.93	0.91	0.96	0.74	0.93	0.91	0.95	0.94	0.94	0.87	0.96	0.96	0.49	0.45	0.96	0.96	0.95	0.88	0.96	0.95	0.91	0.85	0.94	0.27	0.87	0.75	0.89	0.93	0.95
chr14	35883184	35883513	chr14	35883184	35883512	0.6	0.34	0.94	0.94	0.94	0.91	0.97	0.79	0.93	0.89	0.9	0.9	0.92	0.91	0.81	0.72	0.95	0.95	0.94	0.93	0.94	0.86	0.88	0.95	0.89	0.94	0.89	0.85	0.93	0.89	0.95
chr14	36042011	36042775	chr14	36042011	36042774	0.91	0.92	0.91	0.91	0.92	0.93	0.93	0.78	0.66	0.76	0.41	0.91	0.93	0.92	0.92	0.64	0.92	0.93	0.92	0.92	0.93	0.91	0.91	0.88	0.92	0.85	0.93	0.91	0.88	0.91	0.93
chr14	37516287	37516679	chr14	37516287	37516678	0.87	0.8	0.91	0.91	0.91	0.82	0.91	0.84	0.86	0.86	0.81	0.85	0.91	0.9	0.81	0.84	0.77	0.84	0.86	0.87	0.77	0.86	0.91	0.78	0.34	0.88	0.89	0.92	0.8	0.88	0.89
chr14	37531632	37532291	chr14	37531632	37532290	0.83	0.84	0.89	0.89	0.9	0.85	0.89	0.82	0.83	0.86	0.81	0.88	0.84	0.88	0.9	0.81	0.82	0.85	0.85	0.87	0.85	0.89	0.8	0.9	0.9	0.9	0.88	0.29	0.86	0.87	0.87
chr14	39466674	39467134	chr14	39466674	39467133	0.93	0.92	0.95	0.94	0.94	0.93	0.38	0.92	0.81	0.82	0.83	0.75	0.94	0.94	0.95	0.62	0.9	0.92	0.94	0.93	0.93	0.92	0.93	0.95	0.93	0.96	0.96	0.9	0.82	0.93	0.91
chr14	39786035	39786529	chr14	39786035	39786528	0.94	0.93	0.81	0.94	0.94	0.91	0.94	0.92	0.9	0.94	0.93	0.91	0.95	0.94	0.94	0.28	0.93	0.91	0.94	0.93	0.94	0.91	0.91	0.92	0.91	0.94	0.93	0.94	0.92	0.94	0.92
chr14	39809133	39809876	chr14	39809133	39809875	0.92	0.92	0.92	0.92	0.93	0.9	0.91	0.89	0.91	0.92	0.93	0.93	0.92	0.71	0.69	0.68	0.93	0.93	0.93	0.89	0.93	0.77	0.75	0.89	0.9	0.92	0.9	0.86	0.26	0.9	0.9
chr14	41888903	41889153	chr14	41888903	41889152	0.9	0.88	0.88	0.93	0.91	0.83	0.91	0.76	0.87	0.88	0.83	0.87	0.95	0.93	0.9	0.69	0.88	0.87	0.91	0.92	0.88	0.88	0.93	0.88	0.69	0.34	0.41	0.92	0.89	0.91	0.91
chr14	42347410	42347929	chr14	42347410	42347928	0.82	0.83	0.89	0.85	0.88	0.74	0.79	0.62	0.28	0.68	0.57	0.86	0.9	0.88	0.85	0.58	0.86	0.85	0.86	0.84	0.88	0.75	0.83	0.48	0.56	0.56	0.89	0.8	0.78	0.79	0.86
chr14	42359801	42359905	chr14	42359801	42359904	0.98	0.98	0.98	0.98	0.99	0.93	0.98	0.89	0.14	0.56	0.7	0.99	0.97	0.97	0.98	0.58	0.97	0.97	0.97	0.96	0.97	0.97	0.99	0.95	0.97	0.99	1.0	0.98	0.91	0.98	0.99
